id,name,code,user_type_id/id,chart_template_id/id,reconcile
account_snc_esnl_receivable,Clientes gerais,2111,account.data_account_type_receivable,ptplus.account_chart_template_snc_esnl,True
account_snc_esnl_payable,Fornecedores gerais,2211,account.data_account_type_payable,ptplus.account_chart_template_snc_esnl,True
account_snc_esnl_2112,Clientes - entidade-mãe,2112,account.data_account_type_receivable,ptplus.account_chart_template_snc_esnl,True
account_snc_esnl_2113,Clientes - entidades subsidiárias,2113,account.data_account_type_receivable,ptplus.account_chart_template_snc_esnl,True
account_snc_esnl_2114,Clientes - entidades associadas,2114,account.data_account_type_receivable,ptplus.account_chart_template_snc_esnl,True
account_snc_esnl_2115,Clientes - empreendimentos conjuntos,2115,account.data_account_type_receivable,ptplus.account_chart_template_snc_esnl,True
account_snc_esnl_2116,Clientes - outras partes relacionadas,2116,account.data_account_type_receivable,ptplus.account_chart_template_snc_esnl,True
account_snc_esnl_2117,Utentes,2117,account.data_account_type_receivable,ptplus.account_chart_template_snc_esnl,True
account_snc_esnl_2118,Clientes gerais (PoS),2118,account.data_account_type_receivable,ptplus.account_chart_template_snc_esnl,True
account_snc_esnl_2121,Clientes gerais,2121,account.data_account_type_receivable,ptplus.account_chart_template_snc_esnl,True
account_snc_esnl_2122,Clientes - entidade-mãe,2122,account.data_account_type_receivable,ptplus.account_chart_template_snc_esnl,True
account_snc_esnl_2123,Clientes - entidades subsidiárias,2123,account.data_account_type_receivable,ptplus.account_chart_template_snc_esnl,True
account_snc_esnl_2124,Clientes - entidades associadas,2124,account.data_account_type_receivable,ptplus.account_chart_template_snc_esnl,True
account_snc_esnl_2125,Clientes - empreendimentos conjuntos,2125,account.data_account_type_receivable,ptplus.account_chart_template_snc_esnl,True
account_snc_esnl_2126,Clientes - outras partes relacionadas,2126,account.data_account_type_receivable,ptplus.account_chart_template_snc_esnl,True
account_snc_esnl_2127,Utentes,2127,account.data_account_type_receivable,ptplus.account_chart_template_snc_esnl,True
account_snc_esnl_218,Adiantamentos de clientes e utentes,218,account.data_account_type_current_liabilities,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_219,Perdas por imparidade acumuladas,219,account.data_account_type_current_assets,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_2212,Fornecedores - empresa-mãe,2212,account.data_account_type_payable,ptplus.account_chart_template_snc_esnl,True
account_snc_esnl_2213,Fornecedores - empresas subsidiárias,2213,account.data_account_type_payable,ptplus.account_chart_template_snc_esnl,True
account_snc_esnl_2214,Fornecedores - empresas associadas,2214,account.data_account_type_payable,ptplus.account_chart_template_snc_esnl,True
account_snc_esnl_2215,Fornecedores - empreendimentos conjuntos,2215,account.data_account_type_payable,ptplus.account_chart_template_snc_esnl,True
account_snc_esnl_2216,Fornecedores - outras partes relacionadas,2216,account.data_account_type_payable,ptplus.account_chart_template_snc_esnl,True
account_snc_esnl_2221,Fornecedores gerais,2221,account.data_account_type_payable,ptplus.account_chart_template_snc_esnl,True
account_snc_esnl_2222,Fornecedores - empresa-mãe,2222,account.data_account_type_payable,ptplus.account_chart_template_snc_esnl,True
account_snc_esnl_2223,Fornecedores - empresas subsidiárias,2223,account.data_account_type_payable,ptplus.account_chart_template_snc_esnl,True
account_snc_esnl_2224,Fornecedores - empresas associadas,2224,account.data_account_type_payable,ptplus.account_chart_template_snc_esnl,True
account_snc_esnl_2225,Fornecedores - empreendimentos conjuntos,2225,account.data_account_type_payable,ptplus.account_chart_template_snc_esnl,True
account_snc_esnl_2226,Fornecedores - outras partes relacionadas,2226,account.data_account_type_payable,ptplus.account_chart_template_snc_esnl,True
account_snc_esnl_23711,Corrente,23711,account.data_account_type_current_liabilities,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_23712,Não Corrente,23712,account.data_account_type_non_current_liabilities,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_23721,Corrente,23721,account.data_account_type_current_liabilities,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_23722,Não Corrente,23722,account.data_account_type_non_current_liabilities,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_241,Imposto sobre o rendimento,241,account.data_account_type_current_liabilities,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_25211,Corrente,25211,account.data_account_type_current_liabilities,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_25212,Não Corrente,25212,account.data_account_type_non_current_liabilities,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_25311,Corrente,25311,account.data_account_type_current_liabilities,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_25312,Não Corrente,25312,account.data_account_type_non_current_liabilities,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_25321,Corrente,25321,account.data_account_type_current_liabilities,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_25322,Não Corrente,25322,account.data_account_type_non_current_liabilities,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_2541,Corrente,2541,account.data_account_type_current_liabilities,ptplus.account_chart_template_snc_esnl,False
