id,name,code,user_type_id/id,chart_template_id/id,tag_ids/id,reconcile
account_snc_micro_receivable,Clientes c/c,211,account.data_account_type_receivable,ptplus.account_chart_template_snc_micro,,True
account_snc_micro_payable,Fornecedores c/c,221,account.data_account_type_payable,ptplus.account_chart_template_snc_micro,,True
account_snc_micro_212,Clientes - títulos a receber,212,account.data_account_type_receivable,ptplus.account_chart_template_snc_micro,,True
account_snc_micro_213,Clientes c/c (PoS),213,account.data_account_type_receivable,ptplus.account_chart_template_snc_micro,,True
account_snc_micro_217,Clientes de cobrança duvidosa,217,account.data_account_type_receivable,ptplus.account_chart_template_snc_micro,,True
account_snc_micro_218,Adiantamentos de clientes,218,account.data_account_type_current_assets,ptplus.account_chart_template_snc_micro,,
account_snc_micro_2191,Clientes c/c ,2191,account.data_account_type_liquidity,ptplus.account_chart_template_snc_micro,,
account_snc_micro_2192,Clientes - títulos a receber,2192,account.data_account_type_liquidity,ptplus.account_chart_template_snc_micro,,
account_snc_micro_2198,Outros clientes,2198,account.data_account_type_liquidity,ptplus.account_chart_template_snc_micro,,
account_snc_micro_222,Fornecedores - títulos a pagar,222,account.data_account_type_payable,ptplus.account_chart_template_snc_micro,,True
account_snc_micro_23911,Aos órgãos sociais,23911,account.data_account_type_liquidity,ptplus.account_chart_template_snc_micro,,
account_snc_micro_23912,Ao pessoal,23912,account.data_account_type_liquidity,ptplus.account_chart_template_snc_micro,,
account_snc_micro_239211,Corrente,239211,account.data_account_type_liquidity,ptplus.account_chart_template_snc_micro,,
account_snc_micro_239212,Não Corrente,239212,account.data_account_type_non_current_assets,ptplus.account_chart_template_snc_micro,,
account_snc_micro_239221,Corrente,239221,account.data_account_type_liquidity,ptplus.account_chart_template_snc_micro,,
account_snc_micro_239222,Não Corrente,239222,account.data_account_type_non_current_assets,ptplus.account_chart_template_snc_micro,,
account_snc_micro_2411,Pagamento por conta,2411,account.data_account_type_current_assets,ptplus.account_chart_template_snc_micro,,
account_snc_micro_2412,Pagamento especial por conta,2412,account.data_account_type_current_assets,ptplus.account_chart_template_snc_micro,,
account_snc_micro_2413,Derrama,2413,account.data_account_type_current_assets,ptplus.account_chart_template_snc_micro,,
account_snc_micro_2414,Retenções na fonte efetuadas por terceiros,2414,account.data_account_type_current_assets,ptplus.account_chart_template_snc_micro,,
account_snc_micro_2415,Imposto estimado,2415,account.data_account_type_current_assets,ptplus.account_chart_template_snc_micro,,
account_snc_micro_2416,Imposto apuramento,2416,account.data_account_type_current_assets,ptplus.account_chart_template_snc_micro,,
account_snc_micro_2417,Imposto a pagar,2417,account.data_account_type_current_assets,ptplus.account_chart_template_snc_micro,,True
account_snc_micro_2418,Imposto a recuperar,2418,account.data_account_type_current_assets,ptplus.account_chart_template_snc_micro,,True
account_snc_micro_262,Quotas não liberadas,262,account.data_account_type_liquidity,ptplus.account_chart_template_snc_micro,,
account_snc_micro_263,Adiantamentos por conta de lucros,263,account.data_account_type_liquidity,ptplus.account_chart_template_snc_micro,,
account_snc_micro_264,Resultados atribuídos,264,account.data_account_type_liquidity,ptplus.account_chart_template_snc_micro,,
account_snc_micro_265,Lucros disponíveis,265,account.data_account_type_liquidity,ptplus.account_chart_template_snc_micro,,
account_snc_micro_2681,Corrente,2681,account.data_account_type_current_assets,ptplus.account_chart_template_snc_micro,,
account_snc_micro_2682,Não Corrente,2682,account.data_account_type_non_current_liabilities,ptplus.account_chart_template_snc_micro,,
account_snc_micro_2692,Quotas não liberadas,2692,account.data_account_type_liquidity,ptplus.account_chart_template_snc_micro,,
account_snc_micro_2693,Adiantamentos por conta de lucros,2693,account.data_account_type_liquidity,ptplus.account_chart_template_snc_micro,,
account_snc_micro_2694,Resultados atribuídos,2694,account.data_account_type_liquidity,ptplus.account_chart_template_snc_micro,,
account_snc_micro_2695,Lucros disponíveis,2695,account.data_account_type_liquidity,ptplus.account_chart_template_snc_micro,,
account_snc_micro_26981,Corrente,26981,account.data_account_type_liquidity,ptplus.account_chart_template_snc_micro,,
account_snc_micro_26982,Não Corrente,26982,account.data_account_type_non_current_assets,ptplus.account_chart_template_snc_micro,,
account_snc_micro_279131,Corrente,279131,account.data_account_type_liquidity,ptplus.account_chart_template_snc_micro,,
account_snc_micro_279132,Não Corrente,279132,account.data_account_type_non_current_assets,ptplus.account_chart_template_snc_micro,,
account_snc_micro_27921,Devedores por acréscimos de rendimentos,27921,account.data_account_type_liquidity,ptplus.account_chart_template_snc_micro,,
account_snc_micro_279811,Outros devedores,279811,account.data_account_type_liquidity,ptplus.account_chart_template_snc_micro,,
account_snc_micro_279812,Outros credores,279812,account.data_account_type_liquidity,ptplus.account_chart_template_snc_micro,,
account_snc_micro_279821,Outros devedores,279821,account.data_account_type_non_current_assets,ptplus.account_chart_template_snc_micro,,
account_snc_micro_279822,Outros credores,279822,account.data_account_type_non_current_assets,ptplus.account_chart_template_snc_micro,,
account_snc_micro_298,Outras provisões,298,account.data_account_type_current_assets,ptplus.account_chart_template_snc_micro,,
account_snc_micro_3121,Matérias-primas,3121,account.data_account_type_direct_costs,ptplus.account_chart_template_snc_micro,,
account_snc_micro_3122,Matérias subsidiárias,3122,account.data_account_type_direct_costs,ptplus.account_chart_template_snc_micro,,
account_snc_micro_3123,Embalagens,3123,account.data_account_type_direct_costs,ptplus.account_chart_template_snc_micro,,
account_snc_micro_3124,Materiais diversos,3124,account.data_account_type_direct_costs,ptplus.account_chart_template_snc_micro,,
account_snc_micro_3171,Mercadorias,3171,account.data_account_type_direct_costs,ptplus.account_chart_template_snc_micro,,
account_snc_micro_31721,Matérias-primas,31721,account.data_account_type_direct_costs,ptplus.account_chart_template_snc_micro,,
account_snc_micro_31722,Matérias subsidiárias,31722,account.data_account_type_direct_costs,ptplus.account_chart_template_snc_micro,,
account_snc_micro_31723,Embalagens,31723,account.data_account_type_direct_costs,ptplus.account_chart_template_snc_micro,,
account_snc_micro_31724,Materiais diversos,31724,account.data_account_type_direct_costs,ptplus.account_chart_template_snc_micro,,
account_snc_micro_3181,Mercadorias,3181,account.data_account_type_direct_costs,ptplus.account_chart_template_snc_micro,,
account_snc_micro_31821,Matérias-primas,31821,account.data_account_type_direct_costs,ptplus.account_chart_template_snc_micro,,
account_snc_micro_31822,Matérias subsidiárias,31822,account.data_account_type_direct_costs,ptplus.account_chart_template_snc_micro,,
account_snc_micro_31823,Embalagens,31823,account.data_account_type_direct_costs,ptplus.account_chart_template_snc_micro,,
account_snc_micro_31824,Materiais diversos,31824,account.data_account_type_direct_costs,ptplus.account_chart_template_snc_micro,,
account_snc_micro_3291,Mercadorias em armazém,3291,account.data_account_type_liquidity,ptplus.account_chart_template_snc_micro,,
account_snc_micro_3295,Mercadorias em trânsito,3295,account.data_account_type_liquidity,ptplus.account_chart_template_snc_micro,,
account_snc_micro_3296,Mercadorias em poder de terceiros,3296,account.data_account_type_liquidity,ptplus.account_chart_template_snc_micro,,
account_snc_micro_3391,Matérias-primas,3391,account.data_account_type_liquidity,ptplus.account_chart_template_snc_micro,,
account_snc_micro_3392,Matérias subsidiárias,3392,account.data_account_type_liquidity,ptplus.account_chart_template_snc_micro,,
account_snc_micro_3393,Embalagens,3393,account.data_account_type_liquidity,ptplus.account_chart_template_snc_micro,,
account_snc_micro_3394,Materiais diversos,3394,account.data_account_type_liquidity,ptplus.account_chart_template_snc_micro,,
account_snc_micro_3395,Matérias em trânsito,3395,account.data_account_type_liquidity,ptplus.account_chart_template_snc_micro,,
account_snc_micro_3396,"Outras Matérias-primas,subsidiárias e de consumo",3396,account.data_account_type_liquidity,ptplus.account_chart_template_snc_micro,,
